--- Thread 2 Stage Output (Requests ready for Thread 3) ---
ID	Type	PAddr	Priority
101	0	1356	2	Tue Oct 14 23:26:08 2025
102	1	956	4	Tue Oct 14 23:26:08 2025
103	0	748	1	Tue Oct 14 23:26:08 2025
104	1	738	3	Tue Oct 14 23:26:08 2025
105	0	1056	0	Tue Oct 14 23:26:08 2025
106	1	1250	4	Tue Oct 14 23:26:09 2025
107	0	613	1	Tue Oct 14 23:26:09 2025
108	1	964	2	Tue Oct 14 23:26:10 2025
109	0	768	3	Tue Oct 14 23:26:10 2025
110	1	1192	0	Tue Oct 14 23:26:11 2025
111	0	791	4	Tue Oct 14 23:26:11 2025
112	1	831	1	Tue Oct 14 23:26:12 2025
113	0	1213	2	Tue Oct 14 23:26:12 2025
114	1	747	3	Tue Oct 14 23:26:12 2025
115	0	1476	0	Tue Oct 14 23:26:12 2025
116	1	1479	4	Tue Oct 14 23:26:12 2025
117	0	910	1	Tue Oct 14 23:26:12 2025
118	1	1039	2	Tue Oct 14 23:26:13 2025
119	0	666	3	Tue Oct 14 23:26:13 2025
120	1	1238	0	Tue Oct 14 23:26:13 2025
121	0	1122	4	Tue Oct 14 23:26:13 2025
122	1	1360	1	Tue Oct 14 23:26:13 2025
123	0	976	2	Tue Oct 14 23:26:13 2025
124	1	694	3	Tue Oct 14 23:26:14 2025
125	0	707	0	Tue Oct 14 23:26:16 2025
126	1	820	4	Tue Oct 14 23:26:17 2025
127	0	1265	1	Tue Oct 14 23:26:19 2025
128	1	504	2	Tue Oct 14 23:26:19 2025
129	0	671	3	Tue Oct 14 23:26:19 2025
130	1	987	0	Tue Oct 14 23:26:20 2025
131	0	514	4	Tue Oct 14 23:26:20 2025
132	1	1195	1	Tue Oct 14 23:26:20 2025
133	0	627	2	Tue Oct 14 23:26:20 2025
134	1	918	3	Tue Oct 14 23:26:21 2025
135	0	905	0	Tue Oct 14 23:26:21 2025
136	1	962	4	Tue Oct 14 23:26:21 2025
137	0	920	1	Tue Oct 14 23:26:22 2025
138	1	1189	2	Tue Oct 14 23:26:22 2025
139	0	1362	3	Tue Oct 14 23:26:23 2025
140	1	998	0	Tue Oct 14 23:26:24 2025
141	0	583	4	Tue Oct 14 23:26:24 2025
142	1	1116	1	Tue Oct 14 23:26:24 2025
143	0	582	2	Tue Oct 14 23:26:25 2025
144	1	1091	3	Tue Oct 14 23:26:25 2025
145	0	873	0	Tue Oct 14 23:26:27 2025
146	1	1204	4	Tue Oct 14 23:26:27 2025
147	0	1310	1	Tue Oct 14 23:26:28 2025
148	1	542	2	Tue Oct 14 23:26:28 2025
149	0	1201	3	Tue Oct 14 23:26:29 2025
150	1	1056	0	Tue Oct 14 23:26:29 2025
151	0	509	4	Tue Oct 14 23:26:30 2025
152	1	1094	1	Tue Oct 14 23:26:31 2025
153	0	579	2	Tue Oct 14 23:26:33 2025
154	1	1303	3	Tue Oct 14 23:26:34 2025
155	0	994	0	Tue Oct 14 23:26:35 2025
156	1	1427	4	Tue Oct 14 23:26:35 2025
157	0	1332	1	Tue Oct 14 23:26:36 2025
158	1	1331	2	Tue Oct 14 23:26:37 2025
159	0	952	3	Tue Oct 14 23:26:37 2025
160	1	854	0	Tue Oct 14 23:26:37 2025
161	0	1386	4	Tue Oct 14 23:26:38 2025
162	1	696	1	Tue Oct 14 23:26:38 2025
163	0	543	2	Tue Oct 14 23:26:39 2025
164	1	596	3	Tue Oct 14 23:26:40 2025
165	0	841	0	Tue Oct 14 23:26:40 2025
166	1	1155	4	Tue Oct 14 23:26:41 2025
167	0	675	1	Tue Oct 14 23:26:41 2025
168	1	809	2	Tue Oct 14 23:26:41 2025
169	0	1303	3	Tue Oct 14 23:26:42 2025
170	1	813	0	Tue Oct 14 23:26:42 2025
171	0	914	4	Tue Oct 14 23:26:42 2025
172	1	505	1	Tue Oct 14 23:26:44 2025
173	0	1001	2	Tue Oct 14 23:26:44 2025
174	1	1175	3	Tue Oct 14 23:26:44 2025
175	0	1150	0	Tue Oct 14 23:26:44 2025
176	1	1124	4	Tue Oct 14 23:26:45 2025
177	0	1371	1	Tue Oct 14 23:26:46 2025
178	1	549	2	Tue Oct 14 23:26:46 2025
179	0	1291	3	Tue Oct 14 23:26:46 2025
180	1	1262	0	Tue Oct 14 23:26:47 2025
181	0	1392	4	Tue Oct 14 23:26:47 2025
182	1	1003	1	Tue Oct 14 23:26:47 2025
183	0	678	2	Tue Oct 14 23:26:49 2025
184	1	537	3	Tue Oct 14 23:26:49 2025
185	0	1187	0	Tue Oct 14 23:26:49 2025
186	1	940	4	Tue Oct 14 23:26:50 2025
187	0	1050	1	Tue Oct 14 23:26:50 2025
188	1	1044	2	Tue Oct 14 23:26:51 2025
189	0	1094	3	Tue Oct 14 23:26:51 2025
190	1	687	0	Tue Oct 14 23:26:52 2025
191	0	873	4	Tue Oct 14 23:26:52 2025
192	1	901	1	Tue Oct 14 23:26:52 2025
193	0	1466	2	Tue Oct 14 23:26:53 2025
194	1	515	3	Tue Oct 14 23:26:54 2025
195	0	657	0	Tue Oct 14 23:26:54 2025
196	1	1012	4	Tue Oct 14 23:26:54 2025
197	0	503	1	Tue Oct 14 23:26:55 2025
198	1	1229	2	Tue Oct 14 23:26:55 2025
199	0	1132	3	Tue Oct 14 23:26:55 2025
200	1	866	0	Tue Oct 14 23:26:55 2025
