--- Thread 3 Execution Log (Requests processed by priority) ---
ID	Type	PAddr	Priority
101	READ	1356	2	Tue Oct 14 23:26:08 2025
102	WRITE	956	4	Tue Oct 14 23:26:08 2025
106	WRITE	1250	4	Tue Oct 14 23:26:09 2025
104	WRITE	738	3	Tue Oct 14 23:26:10 2025
109	READ	768	3	Tue Oct 14 23:26:11 2025
111	READ	791	4	Tue Oct 14 23:26:11 2025
108	WRITE	964	2	Tue Oct 14 23:26:12 2025
113	READ	1213	2	Tue Oct 14 23:26:12 2025
116	WRITE	1479	4	Tue Oct 14 23:26:12 2025
114	WRITE	747	3	Tue Oct 14 23:26:13 2025
119	READ	666	3	Tue Oct 14 23:26:13 2025
121	READ	1122	4	Tue Oct 14 23:26:13 2025
118	WRITE	1039	2	Tue Oct 14 23:26:14 2025
123	READ	976	2	Tue Oct 14 23:26:15 2025
124	WRITE	694	3	Tue Oct 14 23:26:17 2025
103	READ	748	1	Tue Oct 14 23:26:18 2025
126	WRITE	820	4	Tue Oct 14 23:26:19 2025
107	READ	613	1	Tue Oct 14 23:26:19 2025
128	WRITE	504	2	Tue Oct 14 23:26:20 2025
129	READ	671	3	Tue Oct 14 23:26:20 2025
112	WRITE	831	1	Tue Oct 14 23:26:20 2025
131	READ	514	4	Tue Oct 14 23:26:20 2025
117	READ	910	1	Tue Oct 14 23:26:21 2025
133	READ	627	2	Tue Oct 14 23:26:21 2025
134	WRITE	918	3	Tue Oct 14 23:26:21 2025
122	WRITE	1360	1	Tue Oct 14 23:26:22 2025
136	WRITE	962	4	Tue Oct 14 23:26:22 2025
127	READ	1265	1	Tue Oct 14 23:26:23 2025
138	WRITE	1189	2	Tue Oct 14 23:26:24 2025
139	READ	1362	3	Tue Oct 14 23:26:24 2025
132	WRITE	1195	1	Tue Oct 14 23:26:24 2025
141	READ	583	4	Tue Oct 14 23:26:25 2025
137	READ	920	1	Tue Oct 14 23:26:25 2025
143	READ	582	2	Tue Oct 14 23:26:26 2025
144	WRITE	1091	3	Tue Oct 14 23:26:27 2025
142	WRITE	1116	1	Tue Oct 14 23:26:28 2025
146	WRITE	1204	4	Tue Oct 14 23:26:28 2025
147	READ	1310	1	Tue Oct 14 23:26:29 2025
148	WRITE	542	2	Tue Oct 14 23:26:29 2025
149	READ	1201	3	Tue Oct 14 23:26:30 2025
105	READ	1056	0	Tue Oct 14 23:26:31 2025
151	READ	509	4	Tue Oct 14 23:26:32 2025
152	WRITE	1094	1	Tue Oct 14 23:26:33 2025
153	READ	579	2	Tue Oct 14 23:26:34 2025
154	WRITE	1303	3	Tue Oct 14 23:26:35 2025
110	WRITE	1192	0	Tue Oct 14 23:26:36 2025
156	WRITE	1427	4	Tue Oct 14 23:26:36 2025
157	READ	1332	1	Tue Oct 14 23:26:37 2025
158	WRITE	1331	2	Tue Oct 14 23:26:37 2025
159	READ	952	3	Tue Oct 14 23:26:38 2025
115	READ	1476	0	Tue Oct 14 23:26:38 2025
161	READ	1386	4	Tue Oct 14 23:26:39 2025
162	WRITE	696	1	Tue Oct 14 23:26:40 2025
163	READ	543	2	Tue Oct 14 23:26:40 2025
164	WRITE	596	3	Tue Oct 14 23:26:41 2025
120	WRITE	1238	0	Tue Oct 14 23:26:41 2025
166	WRITE	1155	4	Tue Oct 14 23:26:41 2025
167	READ	675	1	Tue Oct 14 23:26:42 2025
168	WRITE	809	2	Tue Oct 14 23:26:42 2025
169	READ	1303	3	Tue Oct 14 23:26:42 2025
125	READ	707	0	Tue Oct 14 23:26:43 2025
171	READ	914	4	Tue Oct 14 23:26:44 2025
172	WRITE	505	1	Tue Oct 14 23:26:44 2025
173	READ	1001	2	Tue Oct 14 23:26:44 2025
174	WRITE	1175	3	Tue Oct 14 23:26:45 2025
130	WRITE	987	0	Tue Oct 14 23:26:46 2025
176	WRITE	1124	4	Tue Oct 14 23:26:46 2025
177	READ	1371	1	Tue Oct 14 23:26:46 2025
178	WRITE	549	2	Tue Oct 14 23:26:47 2025
179	READ	1291	3	Tue Oct 14 23:26:47 2025
135	READ	905	0	Tue Oct 14 23:26:47 2025
181	READ	1392	4	Tue Oct 14 23:26:48 2025
182	WRITE	1003	1	Tue Oct 14 23:26:49 2025
183	READ	678	2	Tue Oct 14 23:26:49 2025
184	WRITE	537	3	Tue Oct 14 23:26:50 2025
140	WRITE	998	0	Tue Oct 14 23:26:50 2025
186	WRITE	940	4	Tue Oct 14 23:26:51 2025
187	READ	1050	1	Tue Oct 14 23:26:51 2025
188	WRITE	1044	2	Tue Oct 14 23:26:52 2025
189	READ	1094	3	Tue Oct 14 23:26:52 2025
145	READ	873	0	Tue Oct 14 23:26:52 2025
191	READ	873	4	Tue Oct 14 23:26:53 2025
192	WRITE	901	1	Tue Oct 14 23:26:54 2025
193	READ	1466	2	Tue Oct 14 23:26:54 2025
194	WRITE	515	3	Tue Oct 14 23:26:54 2025
150	WRITE	1056	0	Tue Oct 14 23:26:55 2025
196	WRITE	1012	4	Tue Oct 14 23:26:55 2025
197	READ	503	1	Tue Oct 14 23:26:55 2025
198	WRITE	1229	2	Tue Oct 14 23:26:55 2025
199	READ	1132	3	Tue Oct 14 23:26:56 2025
155	READ	994	0	Tue Oct 14 23:26:56 2025
160	WRITE	854	0	Tue Oct 14 23:26:57 2025
165	READ	841	0	Tue Oct 14 23:26:58 2025
170	WRITE	813	0	Tue Oct 14 23:26:58 2025
175	READ	1150	0	Tue Oct 14 23:26:59 2025
180	WRITE	1262	0	Tue Oct 14 23:26:59 2025
185	READ	1187	0	Tue Oct 14 23:27:00 2025
190	WRITE	687	0	Tue Oct 14 23:27:01 2025
195	READ	657	0	Tue Oct 14 23:27:01 2025
200	WRITE	866	0	Tue Oct 14 23:27:01 2025
